Perfume,Brand,Scent Profile,Votes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating Value,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
1888,xerjoff,,1834,,,,,unisex,4.17,,,,warm spicy,woody,amber,floral,aromatic
1957 eau de parfum,chanel,,1431,,,,,unisex,4.24,,,,powdery,musky,iris,aldehydic,white floral
31 rue cambon eau de parfum,chanel,,755,,,,,women,4.3,,,,woody,iris,yellow floral,patchouli,amber
724,maison francis kurkdjian,,1752,,,,,unisex,3.73,,,,white floral,aldehydic,musky,citrus,fresh
9am dive,afnan,,842,,,,,unisex,4.29,,,,fruity,woody,green,warm spicy,aromatic
9pm,afnan,,6865,,,,,men,4.5,,,,vanilla,amber,warm spicy,cinnamon,sweet
a la rose,maison francis kurkdjian,,2706,,,,,women,4.05,,,,rose,citrus,floral,powdery,violet
absolu aventus,creed,,1068,,,,,men,4.19,,,,citrus,warm spicy,aromatic,woody,soft spicy
accento,xerjoff,,1087,,,,,unisex,4,,,,musky,powdery,sweet,earthy,fruity
accento overdose,xerjoff,,911,,,,,unisex,3.99,,,,white floral,green,fruity,fresh,woody
acqua di gio,giorgio armani,,18937,,,,,men,4.11,,,,citrus,aromatic,marine,fresh spicy,floral
acqua di gio absolu,giorgio armani,,3425,,,,,men,4.04,,,,aromatic,woody,citrus,fresh spicy,amber
acqua di gio absolu instinct,giorgio armani,,703,,,,,men,4,,,,woody,marine,citrus,aromatic,amber
acqua di gio eau de parfum,giorgio armani,,2388,,,,,men,4.06,,,,aromatic,marine,mineral,citrus,fresh spicy
acqua di gio essenza,giorgio armani,,2701,,,,,men,4.31,,,,fresh spicy,aromatic,citrus,fresh,aquatic
acqua di gio for women,giorgio armani,,4584,,,,,women,3.98,,,,floral,fresh,white floral,green,rose
acqua di gio parfum,giorgio armani,,2443,,,,,men,4.41,,,,aromatic,fresh spicy,marine,woody,citrus
acqua di gio profondo,giorgio armani,,7978,,,,,men,4.33,,,,marine,aromatic,citrus,fresh spicy,fresh
acqua di gio profumo,giorgio armani,,14072,,,,,men,4.41,,,,aromatic,marine,fresh spicy,amber,woody
acqua di gioia,giorgio armani,,14643,,,,,women,3.9,,,,aromatic,citrus,green,white floral,fresh spicy
acqua di gioia eau de toilette,giorgio armani,,845,,,,,women,3.89,,,,fresh,citrus,floral,fruity,woody
acqua di gioia eau fraiche,giorgio armani,,1199,,,,,women,3.98,,,,citrus,aquatic,fresh,sweet,white floral
acqua di gioia essenza,giorgio armani,,1045,,,,,women,3.83,,,,sweet,white floral,green,aromatic,woody
acqua di parma blu mediterraneo arancia di capri,acqua di parma,,2980,,,,,unisex,4.15,,,,citrus,,,,
acqua di parma blu mediterraneo bergamotto di calabria,acqua di parma,,2134,,,,,unisex,4.13,,,,citrus,woody,aromatic,fresh spicy,warm spicy
acqua di parma blu mediterraneo cipresso di toscana,acqua di parma,,795,,,,,unisex,3.96,,,,aromatic,woody,fresh spicy,green,herbal
acqua di parma blu mediterraneo fico di amalfi,acqua di parma,,6211,,,,,unisex,4.32,,,,citrus,woody,fruity,sweet,fresh spicy
