Name,Brand,Scent Profile,Likes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
1957-eau-de-parfum,chanel,,1431,,,,,unisex,4.24,,,,,,,,
724,maison-francis-kurkdjian,,1752,,,,,unisex,3.73,,,,,,,,
absolu-aventus,creed,,1068,,,,,men,4.19,,,,,,,,
acqua-di-gio,giorgio-armani,,18937,,,,,men,4.11,,,,,,,,
acqua-di-gio-absolu,giorgio-armani,,3425,,,,,men,4.04,,,,,,,,
acqua-di-gio-eau-de-parfum,giorgio-armani,,2388,,,,,men,4.06,,,,,,,,
acqua-di-gio-essenza,giorgio-armani,,2701,,,,,men,4.31,,,,,,,,
acqua-di-gio-parfum,giorgio-armani,,2443,,,,,men,4.41,,,,,,,,
acqua-di-gio-profondo,giorgio-armani,,7978,,,,,men,4.33,,,,,,,,
acqua-di-gio-profumo,giorgio-armani,,14072,,,,,men,4.41,,,,,,,,
acqua-di-parma-blu-mediterraneo-arancia-di-capri,acqua-di-parma,,2980,,,,,unisex,4.15,,,,,,,,
acqua-di-parma-blu-mediterraneo-bergamotto-di-calabria,acqua-di-parma,,2134,,,,,unisex,4.13,,,,,,,,
acqua-di-parma-blu-mediterraneo-fico-di-amalfi,acqua-di-parma,,6211,,,,,unisex,4.32,,,,,,,,
acqua-di-parma-blu-mediterraneo-mandorlo-di-sicilia,acqua-di-parma,,4099,,,,,unisex,4.12,,,,,,,,
acqua-di-parma-blue-mediterraneo-mirto-di-panarea,acqua-di-parma,,2576,,,,,unisex,4.1,,,,,,,,
acqua-di-parma-colonia-assoluta,acqua-di-parma,,1147,,,,,unisex,4.22,,,,,,,,
acqua-di-parma-colonia-pura,acqua-di-parma,,1205,,,,,unisex,4.01,,,,,,,,
allure-homme,chanel,,6196,,,,,men,4.31,,,,,,,,
allure-homme-edition-blanche-eau-de-parfum,chanel,,3329,,,,,men,4.54,,,,,,,,
allure-homme-sport,chanel,,12382,,,,,men,4.26,,,,,,,,
allure-homme-sport-cologne,chanel,,2489,,,,,men,4.34,,,,,,,,
allure-homme-sport-eau-extreme,chanel,,9910,,,,,men,4.34,,,,,,,,
althair,parfums-de-marly,,3125,,,,,men,4.41,,,,,,,,
ambre-nuit,dior,,2626,,,,,unisex,4.38,,,,,,,,
amyris-homme,maison-francis-kurkdjian,,1875,,,,,men,4.15,,,,,,,,
antaeus,chanel,,5246,,,,,men,4.25,,,,,,,,
